Department,GPAX_threshold,Science_GPAX_threshold,Math_GPAX_threshold,Biology_GPAX_threshold,Chemistry_GPAX_threshold,Physics_GPAX_threshold,Computer_GPAX_threshold,English_GPAX_threshold
สาขาสถิติประยุกต์,3.55,3.7,2.5,0,0,0,4,3.95
สาขาสถิติประยุกต์,3.57,3.46,3.51,3.45,3.5,3.58,3.87,3.64
สาขาสถิติประยุกต์,3.5,3,3.5,3,3,3.5,4,2.5
สาขาสถิติประยุกต์,3.16,3.5,2,3,3,3,3.5,2
สาขาสถิติประยุกต์,2.26,2,2.5,1.5,2,2,3.5,2
สาขาสถิติประยุกต์,3.76,3.79,3.58,4,4,4,3.88,3.83
สาขาสถิติประยุกต์,3.33,3.5,3.66,3.5,2,3.5,3.5,2.47
สาขาสถิติประยุกต์,3.45,3.57,3.66,0,0,0,3.25,2.53
สาขาสถิติประยุกต์,2,2,2.5,2,2,2,2,3
สาขาสถิติประยุกต์,3.48,3.17,3.6,2,3.5,3.5,3.2,3.05
สาขาสถิติประยุกต์,2.37,2.23,2.01,2.01,2.01,2.26,2.45,2.32
สาขาสถิติประยุกต์,2.7,3,3,3,3,3,2,2
สาขาสถิติประยุกต์,2.98,2.65,3.17,2.5,2.1,2.1,3.4,2.66
สาขาสถิติประยุกต์,2.52,0,3,0,0,0,3,2.5
สาขาสถิติประยุกต์,2.85,2.5,2,0,0,0,3,4
สาขาสถิติประยุกต์,2.04,2.01,1.05,1.05,1.05,1,2.05,1.05
สาขาสถิติประยุกต์,3.1,2,2,2,2,2,3,2.5
สาขาสถิติประยุกต์,2.9,2.5,3,0,0,0,3.5,3
สาขาสถิติประยุกต์,3.17,2.69,2.85,0,0,0,3.57,3.16
สาขาสถิติประยุกต์,3.5,3,3,0,0,0,4,3.5
สาขาสถิติประยุกต์,3.46,3.18,3.5,3.5,3,3,3,3.56
สาขาสถิติประยุกต์,3.33,3.52,2.38,0,0,0,3.52,3.79
สาขาสถิติประยุกต์,3.14,3,3.5,4,3,2,4,1
สาขาสถิติประยุกต์,2.6,2.5,2.4,2.8,2.5,3,3.5,2.3
สาขาสถิติประยุกต์,2.89,2.7,2.55,3,2,2.38,3.66,2.95
สาขาสถิติประยุกต์,3.54,3.26,3.43,3.33,2.75,2.83,4,3.88
สาขาสถิติประยุกต์,3.23,3.5,4,3,3,3,4,2.5
สาขาสถิติประยุกต์,3.54,3.26,3.43,3.33,2.83,2.74,4,3.88
สาขาสถิติประยุกต์,3.28,2.92,3.5,3.08,2.33,2.08,3.12,3.23
สาขาสถิติประยุกต์,3.23,3.58,2.5,0,0,0,3.58,2.56
สาขาสถิติประยุกต์,3.34,3.24,3.48,3.08,3.11,3.05,3.24,2.8
สาขาสถิติประยุกต์,3,3,3,0,0,0,2.5,3
สาขาสถิติประยุกต์,3.17,3.09,3.06,3,2.76,2.81,3.04,2.27
สาขาสถิติประยุกต์,3.25,3,2.5,0,0,0,3,3
สาขาสถิติประยุกต์,2.89,2,2.9,3.1,2.8,2.57,3.5,2.89
สาขาสถิติประยุกต์,3.1,3.05,2.86,3,2.76,2.82,3.52,2.45
สาขาสถิติประยุกต์,3.1,3,2.89,2.8,2.85,2.76,3.4,3.1
สาขาสถิติประยุกต์,3.17,2.5,2,3,3,3,3,3.5
สาขาสถิติประยุกต์,2.72,2.75,2.5,2.5,2.5,2,3.75,3.5
สาขาสถิติประยุกต์,2.65,3.08,2.22,2.33,1.83,1.58,3.6,2.25
สาขาสถิติประยุกต์,2.51,2.5,2.33,0,0,0,0,2.5
สาขาสถิติประยุกต์,3.67,3.7,3.92,3.21,3.5,3.89,4,4
สาขาสถิติประยุกต์,3.78,3.65,3.92,3.66,3.45,3.67,4,3.68
สาขาชีววิทยาประยุกต์,3,3.42,3.41,4,3.5,2.73,0,3.35
สาขาชีววิทยาประยุกต์,3.42,2.2,2,2.3,3,2.5,3.5,3.7
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,3.5,3,2.5,2.5,2,2,4,3.5
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,3.33,3,4,3,2,2,3.5,4
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,2.05,2.5,1.5,2,2,3,4,1
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,2.5,3,2,0,0,0,0,3
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,3.41,3.5,3,3,2.5,3,4,4
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,3.3,2.5,3,0,0,0,4,3.5
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,2.25,2.5,2,0,0,0,2.19,2
สาขาวิทยาศาสตร์และการจัดการเทคโนโลยีอาหาร,2.72,2.42,2.58,0,0,0,3,2.13
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,3.69,4,4,0,0,0,4,4
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,2.54,2,2,0,0,0,3,3
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,3.7,3.65,3.71,0,0,0,0,3.3
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,2.94,2.63,2.54,0,0,0,3.14,3.23
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,3.87,4,3.5,0,0,0,4,4
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,2.97,3.02,2.8,3.1,2.8,2.75,3.25,3.15
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,2,1.67,1.47,0,0,0,1.67,2.54
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,2.82,2.68,2.4,0,0,0,2.68,2.16
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,2.75,3.11,2.14,0,0,0,0,2.3
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,3.5,0,3.7,3.6,3.5,3.4,3.8,3.7
สาขาวิทยาศาสตร์และการจัดการเทคโนโลยีอาหาร,3.43,4,2,0,0,0,4,3
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,2.54,2.25,2.36,0,0,0,0,2.66
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,3.58,3.66,3.51,0,0,0,0,3.03
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,3.81,3.77,3.93,3.7,3.9,3.5,4,4
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,3.68,3.61,3.36,3.58,3.33,3.91,4,3.62
สาขาฟิสิกส์ประยุกต์,3.2,3.05,1.75,0,0,0,3.05,3.15
สาขาฟิสิกส์ประยุกต์,3.5,3.75,3.26,3,4,4,3.75,3.4
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,3.41,3.25,3.25,3.33,3,3.83,3.17,3.58
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.3,3,3,3,3,1.9,3,3
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,2.96,3,3,0,0,0,3.5,2.5
