Departments,departmentScore,student_GPAX,Science,Mathematics,Biology,Chemistry,Physics,Computer,English
Big Data Management and Analytics,3.45,3.5,3,2.5,2.5,2,2,4,3.5
Big Data Management and Analytics,3.75,3.33,3,4,3,2,2,3.5,4
Big Data Management and Analytics,2.65,2.05,2.5,1.5,2,2,3,4,1
Big Data Management and Analytics,1.2,2.5,3,2,0,0,0,0,3
Big Data Management and Analytics,3.7,3.41,3.5,3,3,2.5,3,4,4
Big Data Management and Analytics,3.6,3.3,2.5,3,0,0,0,4,3.5
Big Data Management and Analytics,2.095,2.25,2.5,2,0,0,0,2.19,2
Big Data Management and Analytics,4,3.69,4,4,0,0,0,4,4
Big Data Management and Analytics,2.7,2.54,2,2,0,0,0,3,3
Big Data Management and Analytics,1.773,3.7,3.65,3.71,0,0,0,0,3.3
Big Data Management and Analytics,2.978,2.94,2.63,2.54,0,0,0,3.14,3.23
Big Data Management and Analytics,3.85,3.87,4,3.5,0,0,0,4,4
Big Data Management and Analytics,3.095,2.97,3.02,2.8,3.1,2.8,2.75,3.25,3.15
Big Data Management and Analytics,1.784,2,1.67,1.47,0,0,0,1.67,2.54
Big Data Management and Analytics,2.492,2.82,2.68,2.4,0,0,0,2.68,2.16
Big Data Management and Analytics,1.102,2.75,3.11,2.14,0,0,0,0,2.3
Big Data Management and Analytics,1.24,2.54,2.25,2.36,0,0,0,0,2.66
Big Data Management and Analytics,1.659,3.58,3.66,3.51,0,0,0,0,3.03
Big Data Management and Analytics,3.979,3.81,3.77,3.93,3.7,3.9,3.5,4,4
Big Data Management and Analytics,3.732,3.68,3.61,3.36,3.58,3.33,3.91,4,3.62
Big Data Management and Analytics,3.276,3.41,3.25,3.25,3.33,3,3.83,3.17,3.58
Big Data Management and Analytics,1.361,3.3,3.02,2.33,0,0,0,0,3.31
Applied Mathematics,2.912,3.53,3.31,3.64,3.25,3,3.4,0,3.3
Applied Mathematics,3.388,3.25,3.29,3.36,3.08,3.5,3.16,3.5,2.75
Applied Mathematics,3.304,3.64,3.72,3.13,3.75,3.58,3.73,4,3.63
Applied Mathematics,3.904,3.61,3.45,3.88,2.83,3.58,3.66,4,3.45
Applied Mathematics,3.868,3.63,3.53,3.86,3.16,3.33,3.76,3.9,3.47
Applied Mathematics,3.248,3.4,3.45,3.31,3.49,3.42,3.47,3,3.09
Applied Mathematics,3.462,3.29,2.87,3.39,1.5,2.5,3,3.75,3
Applied Mathematics,2.088,2.96,3.09,2.61,0,0,0,0,2.76
Applied Mathematics,2.912,3.53,3.31,3.64,3.25,3,3.3,0,3.3
Applied Mathematics,3.654,3.45,3.1,3.63,2.73,2.75,3,3.75,3.11
Applied Biology,3.782,3.45,3.42,3.41,4,3.5,2.73,0,3.35
Applied Biology,2.38,3.42,2.2,2,2.3,3,2.5,3.5,3.7
Applied Biology,3.6,3.7,3.5,3.2,3.8,3.4,3.5,4,3.5
Applied Biology,2.854,3.29,2.76,2.77,2.81,3.07,2.18,3.55,3.8
Applied Biology,3.492,3.83,3.62,3.76,3.5,3.2,3.3,3.91,3.82
Applied Biology,3.05,3.14,3.25,3.25,3,3,3,3.5,3
Applied Biology,3.588,3.53,3.92,2.8,3.75,3.89,4,3.83,3.08
Applied Biology,3.83,3.9,3.97,3.9,3.8,3.85,3.84,4,3.89
